timestamp,fixed_col,username,tweet,hour,minute,tweet_length,word_count,mention_count,url_count,hac_cluster_tentative
Fri May 22 03:23:24 PDT 2009,NO_QUERY,pjaramirez16,Yoh! Just wrote some album songs... hehe... ,3,23,44,7,0,0,1
Sat May 02 08:38:25 PDT 2009,NO_QUERY,xSarah_13x,My handsome little boy turned 3 yesterday  I have a birthday party I get to go to later at chucky cheeses...ha ha ...I ? my baby,8,38,128,26,0,0,1
Mon Apr 20 03:22:58 PDT 2009,NO_QUERY,serengetisunset,@epicfailanne Where in the geek stereotype did you figure that geeks were gourmet chefs? ;) I burnt 5 things just yesterday! ,3,22,125,20,1,0,2
Thu Jun 25 05:48:52 PDT 2009,NO_QUERY,dirtydanlowe,"stupid littering fine.. Now I can't squander all of my recent earnings on tat, instead I've got to spend money to keep me out of court ",5,48,135,28,0,0,1
Mon Jun 22 16:50:28 PDT 2009,NO_QUERY,JAKECRRUZZ,"Fuck, today was wasteful i havent even picked up my guitar, ",16,50,60,11,0,0,1
Sun May 03 12:08:13 PDT 2009,NO_QUERY,adGrrl,reveling in the beauty of the day. too bad our deck needs a good washing before we can enjoy it. ,12,8,97,20,0,0,1
Sun Jun 07 19:33:48 PDT 2009,NO_QUERY,Faddy,"Work has piled up since I was awol on Friday, but srsly I feel so lazy to begin clearing  Can I just shred everything and feign ignorance?",19,33,138,27,0,0,1
Mon Jun 01 14:50:45 PDT 2009,NO_QUERY,lynnkale,Just heard that clients don't find site usability to be a priority. Sad to have spent so much time on something that will crash and burn. ,14,50,138,27,0,0,1
Fri Jun 19 02:43:45 PDT 2009,NO_QUERY,rahum,@JeepersMedia can u buy the flight for me?&quot; cuz i cant go to NYC  israel is too far,2,43,88,19,1,0,2
Mon Jun 22 17:10:44 PDT 2009,NO_QUERY,kfo1109,thanks to the tabloids for ruining the john and kate announcement! now i know whats going to happen ,17,10,100,18,0,0,1
Sun Apr 19 05:13:38 PDT 2009,NO_QUERY,extreme_yoda,@georgia_a_c Fuck you Georgia! Fuck you!! ,5,13,42,6,1,0,2
Tue Apr 07 02:09:05 PDT 2009,NO_QUERY,kimberley_,HAS A NEW IKEA CATALOGUE THIS IS EXCITING!   ,2,9,45,8,0,0,1
Sun May 17 11:13:37 PDT 2009,NO_QUERY,meganzyo,safari 4 is awesome.  still need 2 find out how 2 to do the cover flow thing.,11,13,77,17,0,0,1
Sat Jun 06 02:28:51 PDT 2009,NO_QUERY,TeamDLovato,has just got hit up the face with a bouncy ball ( OUCH  ) curse my brother!!!!,2,28,78,15,0,0,1
Sat Jun 06 17:59:54 PDT 2009,NO_QUERY,CRed_TheDiva,@TayloreMadeCeo soup on u? I like campbells vegetarian veggie....I think I have the flu ,17,59,88,15,1,0,2
Wed Jun 24 21:26:48 PDT 2009,NO_QUERY,RobPhotography,@brittdeezy I heard gun shots ,21,26,30,5,1,0,2
Wed Jun 17 01:05:46 PDT 2009,NO_QUERY,Melanie_XOXO,@sevinnyne6126 That's Life ,1,5,27,4,1,0,2
Sat Jun 06 08:34:59 PDT 2009,NO_QUERY,Chineenikki,im soo hungry - can't wait 4 lunchtime. have been studying all day for exams next week ,8,34,87,17,0,0,1
Tue May 26 22:17:07 PDT 2009,NO_QUERY,cupcakesandcode,@JoyIsFancy Le suck. ,22,17,21,3,1,0,2
Mon Jun 15 16:41:15 PDT 2009,NO_QUERY,jrattray,"Oh no, was that the one about 10ish? That sucks Jo ",16,41,51,11,0,0,1
Tue Jun 16 20:56:37 PDT 2009,NO_QUERY,jillMDC,@misschat I know  it wld be he perfect snack after the wkout I just had...,20,56,74,15,1,0,2
Sun Jun 14 23:36:30 PDT 2009,NO_QUERY,dana_burgess,I hurt everywhere! Why am I so unfit? ,23,36,38,8,0,0,1
Sat May 09 22:26:56 PDT 2009,NO_QUERY,Mona_Kaye,Happy Mother's day to all the wonderful mommies out there  I LOVE YOU MOM!!,22,26,75,15,0,0,1
Sun Jun 21 09:17:58 PDT 2009,NO_QUERY,JamilahCreekmur,@BadBoyHenRoc I'm sure it was great!  I haven't been able to get there as much since we moved...  ,9,17,98,20,1,0,2
Tue Jun 16 17:46:17 PDT 2009,NO_QUERY,jen_williams,I wish I could talk the cat into eating. Canned food is a no-go. He just wants to sit and purr. ,17,46,96,22,0,0,1
Fri Jun 19 11:59:09 PDT 2009,NO_QUERY,SuetheLibrarian,"SLA 2009 was fine, and close enough to drive. But keeps getting shorter; this year only 2 full days + a bit. Almost not worth flying ",11,59,133,25,0,0,1
Sun May 31 09:27:20 PDT 2009,NO_QUERY,RYANWWILLIAMS,My bmw has a flat tire ,9,27,23,6,0,0,1
Fri May 29 12:01:36 PDT 2009,NO_QUERY,ChampagneRDub,@cameo1172 i feel u  but its sooo close to me hard not to  but i cant so no point ugh,12,1,85,20,1,0,2
Sun May 03 01:14:59 PDT 2009,NO_QUERY,CHAlOE_lARESE,@MikeyMcFly same shit lol.. sleepy.. but i need to charge my phone. so i have to stay up  .. what's your excuse? lol,1,14,116,23,1,0,2
Mon Jun 15 14:55:29 PDT 2009,NO_QUERY,julie_tweets,"@itsjulianax333 lmfao, my iphoto's been being a dumbass so i can't upload stuff  not yet anyways; and i didn't even take that may pics so",14,55,137,28,1,0,2
Fri Jun 05 09:03:47 PDT 2009,NO_QUERY,zarap13,@DonnieWahlberg  Oh well Iam out I guess I will just have to wait till Chicago show ,9,3,84,16,1,0,2
Tue Jun 02 20:43:51 PDT 2009,NO_QUERY,lesliepokita,"@tommcfly the truth, you hate the Mexican fans?  Yes, not, maybe",20,43,64,11,1,0,2
Tue Jun 02 04:19:11 PDT 2009,NO_QUERY,mediahounds,@ronizalcman you can say that again! Not happy with this swine ,4,19,63,11,1,0,2
Tue Jun 23 10:08:30 PDT 2009,NO_QUERY,aagblog,The previous makes me very sad.  ,10,8,33,6,0,0,1
Sat Jun 20 18:49:25 PDT 2009,NO_QUERY,Broken_Vibes,@Ryan_Tudor Oh noeess  mean. I really want a duck called potter now lol. Someone drew you in a game of DB pictionary lmao! ,18,49,123,23,1,0,2
Sat May 16 23:45:30 PDT 2009,NO_QUERY,leccie,Hi hoooooh! WORK TIME...ugh ,23,45,28,5,0,0,1
Sat Jun 06 02:51:39 PDT 2009,NO_QUERY,LauraNardella,@sophiekala he dont wanna lose her and doesnt wantï»¿ to let her go ,2,51,68,13,1,0,2
Tue Jun 23 14:07:10 PDT 2009,NO_QUERY,ProverbsWoman,"@fitmomwithtwins  And a hole in your wallet, if you go someplace like Cold Stone.  The three of us went there once and it cost us $16! ",14,7,135,26,1,0,2
Sun May 17 10:32:17 PDT 2009,NO_QUERY,rami22,@umurtu mom cooking for sure ,10,32,29,5,1,0,2
Sun May 31 09:14:27 PDT 2009,NO_QUERY,DarkFarmOwl,@AnnekaHansen Ramble was gr8 thnx. Lots of sunshine so getting lost (again) was actually a pleasant experience. Walked into a tree though ,9,14,138,22,1,0,2
Sun May 17 08:07:36 PDT 2009,NO_QUERY,Bearpiglett,@ellaeske cool beans wack them up on rapidshare and send me the link ,8,7,69,13,1,0,2
Thu May 28 23:09:49 PDT 2009,NO_QUERY,okiepeanut93,Got the news ,23,9,13,3,0,0,1
Sat Apr 18 21:57:35 PDT 2009,NO_QUERY,pennylane55,@lilyg91 well i want YOU lilyg!  haha. i know im responding 7hrs late. shut up! haha.,21,57,85,16,1,0,2
Sat Jun 20 01:25:40 PDT 2009,NO_QUERY,bentopliss,Good old rainy manchester. ,1,25,27,4,0,0,1
Sat May 30 07:24:05 PDT 2009,NO_QUERY,bluefuel318,"@warley I like it too, but i can't use the search function w/ the remote that came with my XPS. ",7,24,96,21,1,0,2
Mon Jun 01 13:19:44 PDT 2009,NO_QUERY,bendygirly,At tia Eva's Wake ,13,19,18,5,0,0,1
Sat May 30 15:31:31 PDT 2009,NO_QUERY,keef_,@haykuro Well you will be missed my friend ,15,31,43,8,1,0,2
Mon Jun 01 12:07:04 PDT 2009,NO_QUERY,Ultimation,@richard4481 @painyboi Not looking hopefull is it lol ,12,7,54,8,2,0,0
Fri Jun 05 15:35:10 PDT 2009,NO_QUERY,PBlieu,@MeLaMachinko like i REFUSED to wear shoes with my toes out for maaaaad long! my brother greg would yell yabbadabbadoooooo! ,15,35,124,20,1,0,2
Sat Jun 06 02:00:33 PDT 2009,NO_QUERY,asleepylee,i don't really like this 'one more time' song... i'm getting kinda sick of it too cause it keeps coming up ,2,0,107,23,0,0,1
Thu Jun 18 15:12:15 PDT 2009,NO_QUERY,TweetaMe,Geez! I wish i had a man to come home to that could rub mah shoulders after a long day!*sigh* ,15,12,94,21,0,0,1
Sun Jun 07 19:19:51 PDT 2009,NO_QUERY,Sammimayne2,Is asleeep. Grounded.  no phone leave it here or myspace.,19,19,57,10,0,0,1
Thu May 21 23:31:18 PDT 2009,NO_QUERY,Amy_leigh14,Omg my sister went into labour at 27weeks be strong little locklan  everything will be ok we all love u,23,31,103,20,0,0,1
Mon Jun 15 02:02:35 PDT 2009,NO_QUERY,imjustlikeme,@syarshine it wont let you block? UGH ,2,2,38,7,1,0,2
Tue Jun 16 21:16:45 PDT 2009,NO_QUERY,candiesus,@ladyd04 ahhh!  omg.  please tell me you made that up.  hope your feeling better... ,21,16,84,14,1,0,2
Tue Apr 07 00:48:34 PDT 2009,NO_QUERY,nicolejensen,"@weisslu Friends do, but then other times being home-alone with a bottle of wine or bubbly, good movie and the bathtub does well too ",0,48,133,25,1,0,2
Sun Jun 21 00:39:28 PDT 2009,NO_QUERY,kraziekrys,I know ima have a bad dream....its diggin its way to the surface...that's why I dopnt wanna sleep ,0,39,98,21,0,0,1
Tue Jun 23 12:30:26 PDT 2009,NO_QUERY,emilyhall92,@CarrieChute yeah  oh well! I am definitely going next time and I'm gonna be organised hehe,12,30,91,17,1,0,2
Mon Jun 15 16:30:43 PDT 2009,NO_QUERY,BGAkou,Oh the way back to Miami. Too bad the trip had to end so soon  lol,16,30,66,16,0,0,1
Sat May 30 23:30:13 PDT 2009,NO_QUERY,GreenRoxx,@theDebbyRyan Why dont you tweet back 2 me?  your making me sad...,23,30,66,12,1,0,2
Sat Apr 18 10:36:32 PDT 2009,NO_QUERY,StormClaudi,"@Kelsie_love really, my boyfriend isn't going to get any siblings?  whatevas, you're totally going to have another one, bitch. FRODO! baha",10,36,138,23,1,0,2
Sun May 17 10:56:49 PDT 2009,NO_QUERY,MaryAliceHale,is still taking a poll. What is your favorite shoe brand and why? Close race between flip flops and converse. ;) Tell me your favorite! ,10,56,136,24,0,0,1
Sun Apr 19 09:20:11 PDT 2009,NO_QUERY,GermanGoddess,"Can someone with muscles please help me bring my stuf to the attics. I CAN do it, I just dont WANT to do it. Up 2 flights of stairs. ",9,20,133,29,0,0,1
Fri May 29 14:09:11 PDT 2009,NO_QUERY,alyseegs,soreeeee throattttttt ,14,9,22,2,0,0,1
Sun May 31 10:30:26 PDT 2009,NO_QUERY,sunshiineeee,fucking flute recital! ,10,30,23,3,0,0,1
Sun Jun 07 16:13:58 PDT 2009,NO_QUERY,BBunn90,washed my last dog for today dog sitter is a terrible lol ,16,13,58,12,0,0,1
Sat Jun 06 12:25:24 PDT 2009,NO_QUERY,hengdeg,just fell in love with lip service. WHY AM I SO POOR ,12,25,53,12,0,0,1
Sun May 17 11:48:34 PDT 2009,NO_QUERY,XxXLa_MenOrxXx,@DJLOCORIOUS Locooooo ,11,48,22,2,1,0,2
Tue Jun 02 15:26:10 PDT 2009,NO_QUERY,Smythicles,@perkleberry if it had been a week earlier I would have participated  I want a little tshirt. Let's do our own cobras next friday ;),15,26,132,25,1,0,2
Thu May 14 00:34:28 PDT 2009,NO_QUERY,ghostsspirits,"Since they were all underage, no one wanted to admit they were at this party, so her friends left her there to die. she died.... ",0,34,129,25,0,0,1
Tue May 26 23:01:57 PDT 2009,NO_QUERY,weblah,"mornin all!looks an average day out there 2day  have a goodun,whatever ur up 2!",23,1,79,16,0,0,1
Mon Jun 15 08:55:49 PDT 2009,NO_QUERY,MonkyBoxx,i hate this job. i almost think banging my head into the wall would feel better... ,8,55,83,16,0,0,1
Sun Apr 19 08:59:58 PDT 2009,NO_QUERY,Shariiiii,"I'll try and do my homework today, I swear!! Ohhh look at outside how beautiful it is ",8,59,86,18,0,0,1
Mon May 18 05:05:23 PDT 2009,NO_QUERY,George9215,"On the buss going to school, I miss her so much  she isn't the same anymore even if she says she hasn't changed, I should have listened.",5,5,136,29,0,0,1
Fri Jun 05 17:04:52 PDT 2009,NO_QUERY,aees,not customized with twitter ,17,4,28,4,0,0,1
Sat Jun 20 07:50:02 PDT 2009,NO_QUERY,xdevinnbabyy, I don't wanna go to work...,7,50,28,7,0,0,1
Fri May 29 14:19:31 PDT 2009,NO_QUERY,pinkelleyphant,after 5pm and no email. looks like i'll be waiting at least until monday. boo. ,14,19,79,16,0,0,1
Tue Jun 16 08:36:56 PDT 2009,NO_QUERY,FlowrrGirl,"is still sicky-pooh, ughhh.. sore throat! ",8,36,42,7,0,0,1
Sun Jun 07 05:08:18 PDT 2009,NO_QUERY,ButterbeanUK,"@Mr_Marty Yep Button leads 1/2 a lap in..........race over, back on the 360 then ",5,8,81,16,1,0,2
Wed Jun 17 17:25:06 PDT 2009,NO_QUERY,GICOLALANE,@TEYANATAYLOR what u tryna clear up? and when u going live? I been busy  haven't seen u live in a min,17,25,101,22,1,0,2
Sun May 31 07:51:39 PDT 2009,NO_QUERY,meauu,i'm tired of my depression.. and of all these sad things in my life  need a miracle,7,51,83,18,0,0,1
Mon Jun 01 14:46:13 PDT 2009,NO_QUERY,dandrews94,I have no followers ,14,46,20,4,0,0,1
Tue Jun 16 20:56:39 PDT 2009,NO_QUERY,calljennyyet,need to go to puffy painters anonymous ,20,56,39,7,0,0,1
Sat Jun 06 22:28:38 PDT 2009,NO_QUERY,parallelsky,"@LadyCookieLuck I'm sad, I just missed your Blog Tv show ",22,28,57,11,1,0,2
Sat Jun 06 20:27:05 PDT 2009,NO_QUERY,c_snapper,@pappi23 oh snap son.  What is you gonna do? it'll buff right out but DAMN. RHD   @cryssipop Whiskey Crotch night?,20,27,114,21,2,0,0
Mon May 18 07:26:24 PDT 2009,NO_QUERY,weeznet,Ugh. It needs to stop raining. Yet another day of stupid ping-pong in gym.  Blah.,7,26,81,16,0,0,1
Sun Jun 14 23:52:56 PDT 2009,NO_QUERY,Jesseyyy,schooly timeeee...hayfevery   not nice,23,52,38,5,0,0,1
Sat May 02 08:23:17 PDT 2009,NO_QUERY,grillzz35,op naar zwolle voor een concert  the shit  iz on,8,23,48,10,0,0,1
Sun May 03 09:04:57 PDT 2009,NO_QUERY,sciamachy,@emmavescence Wow. And ouch! ,9,4,29,4,1,0,2
Sat Jun 06 08:30:54 PDT 2009,NO_QUERY,FaridahF,@AnyaClark tell me how the lemon loaf goes! Look at @henryholland we're missing rounders!! ,8,30,91,15,2,0,0
Sun May 03 06:34:30 PDT 2009,NO_QUERY,Abernathy24,"@OscarDelaHopia @twittedsunshine Found it! Got the mp3 for you na.  Is it ok though, I got the whole thing not just the sond? ",6,34,126,23,2,0,0
Fri May 29 14:03:37 PDT 2009,NO_QUERY,ChaseTheChad,I had 2 hoes .. now I have none ,14,3,32,8,0,0,1
Sun May 03 05:48:34 PDT 2009,NO_QUERY,AMudWhistle,@Billy_liar i'm jealous. ,5,48,25,4,1,0,2
Mon May 18 02:25:11 PDT 2009,NO_QUERY,sepiaverse,@shrem  uff! you are feeling *that* nostalgic?,2,25,46,7,1,0,2
Sun May 10 08:59:06 PDT 2009,NO_QUERY,taluta,"Just back fm beach, didn't take camera (fear of theft to gr8  ) but snuck phone in u/wear *G* will upload pics asa find bluetooth dongle..",8,59,138,27,0,0,1
Sun Jun 07 16:34:06 PDT 2009,NO_QUERY,Ringy_,"honestly, moose. way to fucking fail. its sad that i cant even see you guys getting to game 6.  i really hope you guys bring it next game.",16,34,138,28,0,0,1
Sat May 30 22:54:29 PDT 2009,NO_QUERY,qtkesha86,wish I was spending time with that special sum1...but I guess I'm just not that fortunate...  ,22,54,94,18,0,0,1
Sun May 17 11:26:45 PDT 2009,NO_QUERY,LittleBean,"My birthday tomorrow, the big 20. No longer a teen  I hope this doesn't mean I have to be sensible and mature",11,26,109,23,0,0,1
Mon May 11 23:37:44 PDT 2009,NO_QUERY,crispy15,is being freaked out by Frito... he sounds like he can't breathe ,23,37,65,13,0,0,1
Wed Jun 17 05:47:03 PDT 2009,NO_QUERY,NatAleexox,porlysick ,5,47,10,1,0,0,1
Sun May 31 15:11:39 PDT 2009,NO_QUERY,ZedC,TV not working! Very silent for last night in the apartment  dont wanna move out!,15,11,81,15,0,0,1
Wed May 27 07:27:28 PDT 2009,NO_QUERY,hubbit,"@TEarlGrey Oh, and mazel tov ",7,27,29,5,1,0,2
Fri May 01 23:16:19 PDT 2009,NO_QUERY,KenPeters,"@melissamoog Oops... I meant date NIGHT should always end with twittering, but it shouldn't have anything to do with this web site. ",23,16,132,23,1,0,2
Mon Jun 22 15:04:04 PDT 2009,NO_QUERY,Shizzat,@Lynhthy lol I like me 8900 but I miss my iphone... ,15,4,52,11,1,0,2
Sat Jun 20 19:25:13 PDT 2009,NO_QUERY,flapjacks9702,@Poison_Ivy4 no gym in the world will make them love me. Well I could buy a bigger size but then they would be too big in the waist ,19,25,132,28,1,0,2
Sun May 17 07:52:41 PDT 2009,NO_QUERY,drealucia,Crabtree with Seth &amp; Noah ,7,52,30,5,0,0,1
Mon Apr 06 23:45:38 PDT 2009,NO_QUERY,natalieantipas,@ryleebeth ye im not  very sad...but weirdly enough shes lettin me go 2 da party?? how confusing parents r?? lol,23,45,112,21,1,0,2
Tue Jun 02 21:10:38 PDT 2009,NO_QUERY,blrennin08,"is going to paint a garage tomorrow, then working the concessions. wonderful ",21,10,77,12,0,0,1
Thu Jun 18 21:34:28 PDT 2009,NO_QUERY,LuvToSparkLe,@hef_a_roni I know right! I could lease one... But eh I want to own. My dream car priced at 26k lol not bad but still! A lot for me ,21,34,132,29,1,0,2
Fri May 01 21:15:04 PDT 2009,NO_QUERY,lunarlie,@tinyvamp i prefer degrassi...but since noggin doesn't turn into the n anymore i can't see either one because i don't have the n ,21,15,129,27,1,0,2
Wed Jun 17 07:46:02 PDT 2009,NO_QUERY,kelliiexx,workmen r doing the heating...had to walk home in the rain...now im wet and i cant get to my clothes  im sockeing but p.e got cancelld!,7,46,135,29,0,0,1
Sun May 10 09:54:38 PDT 2009,NO_QUERY,lomwod,Car's dead. Mum lost another guinea pig. 2 in a month. And no quiz for me tonight. And worries until tuesday. Just not worth the effort ,9,54,136,27,0,0,1
Sun Jun 07 15:38:00 PDT 2009,NO_QUERY,saskia999,back to work tomorrow. Yeah....... ,15,38,35,5,0,0,1
Fri May 22 05:23:21 PDT 2009,NO_QUERY,GodessoftheNigh,goin to class. then home to the hud office then to my grams. &lt;3. i miss my kitters  but ill see him later!,5,23,109,24,0,0,1
Fri May 29 19:30:18 PDT 2009,NO_QUERY,fizdog,"Nothing I eat agrees with me. I ate pizza earlier, had the shits. Had pizza again, feels like I gotta puke!! ",19,30,109,21,0,0,1
Fri May 22 00:46:52 PDT 2009,NO_QUERY,checkyesmegan,waiting in hot anticipation for Fred Basset ,0,46,44,7,0,0,1
Fri May 01 23:11:13 PDT 2009,NO_QUERY,youngfreshnew,@suitechauvhan girl my room is sooo messy its crazy.. im doing well tho.. im just working on some stuff.. ,23,11,106,19,1,0,2
Tue Jun 23 12:45:38 PDT 2009,NO_QUERY,srk_SaY13,there is no ink in the printer...  awww,12,45,39,8,0,0,1
Sat May 02 22:59:20 PDT 2009,NO_QUERY,kennyphan,"@henrychen, according to @jennycliu, 20 minutes equal an hour ",22,59,62,9,2,0,0
Thu May 14 03:45:25 PDT 2009,NO_QUERY,storrao,on my way to the car... parked outside about the same place @fresrivo parked last visit together.. more or less 30min later than expected ,3,45,138,24,1,0,2
Wed Jun 17 00:57:42 PDT 2009,NO_QUERY,keija,"Working at 11 &amp; want them to push the software update before I have to leave! *keeps checking* If they don't, no update for me till 9 ",0,57,138,28,0,0,1
Sat May 02 10:32:36 PDT 2009,NO_QUERY,chrizisty,Not at Bamboozle ,10,32,17,3,0,0,1
Sun May 03 00:50:45 PDT 2009,NO_QUERY,awe_yeah,Awesome. Now I don't have to cut a bitch. ,0,50,42,10,0,0,1
Mon Jun 01 01:39:47 PDT 2009,NO_QUERY,m0isaartjuhh,studying. today. ,1,39,17,2,0,0,1
Sat Jun 20 22:04:55 PDT 2009,NO_QUERY,JoJoLuv21,@itsaldo Awwwww....  Well... I Mean The Evening Or U Still Gonna Be Gone?,22,4,73,13,1,0,2
Fri May 22 04:54:20 PDT 2009,NO_QUERY,atuarre,"So I have to head off in a few hours. So I will do my follow friday stuff now, and I'll resend it later on ",4,54,107,26,0,0,1
Wed Jun 03 08:29:14 PDT 2009,NO_QUERY,swilliams7,work 3-6 then packing for New York.  excited to go...not excited to say bye to my sissy  ,8,29,89,19,0,0,1
Wed Jun 03 10:25:13 PDT 2009,NO_QUERY,offglassone,"Im friggin starvin!!! I'd give up my drawers rite now for some curry chicken, brown rice with cabbage and mac n cheese. ",10,25,120,23,0,0,1
Thu May 14 06:43:10 PDT 2009,NO_QUERY,Dwatson783,"@EP31 dont worry, I'll still follow you even if @pluc drops you ",6,43,64,13,2,0,0
Sat May 02 10:48:12 PDT 2009,NO_QUERY,mikomaRie,I have a bad infection inside one of my teeth.. I have to get a root canal next sat ,10,48,84,19,0,0,1
Sat Jun 20 19:02:46 PDT 2009,NO_QUERY,neil2160,Oh no!  Troy Bolton is about to be led astray in HSM2!,19,2,54,12,0,0,1
Wed May 27 07:24:04 PDT 2009,NO_QUERY,Breebreemarie,"Stayed up till 130 last night doing my culture box and as I'm walking out the door, I'm attacked by a scorpion ",7,24,111,24,0,0,1
Mon Apr 20 03:08:50 PDT 2009,NO_QUERY,vwatkinson,"I am back in Southampton, and quite sunny, but not as sunny as Essex was yesters!!  But i am in a positive mood unlike my friends!!",3,8,131,26,0,0,1
Sat Jun 06 12:50:42 PDT 2009,NO_QUERY,azzman1984,"Fucking bored at home at the moment, Coventry sucks balls ",12,50,58,10,0,0,1
Sat May 02 03:47:02 PDT 2009,NO_QUERY,anotlaughout,"Just try my cloths and some shits , and I'm on the way to ivana's birthday sweet seventeen party and after part , what a FUN ",3,47,125,26,0,0,1
Mon May 18 07:38:52 PDT 2009,NO_QUERY,Leztoomey,"Just pulled up at school, and it's started raining.... What is it with this country? ",7,38,85,16,0,0,1
Thu Jun 18 09:06:09 PDT 2009,NO_QUERY,captainboo,"@AndyMacMusic Oh, that doesn't sound good ",9,6,42,7,1,0,2
Tue Jun 16 08:04:20 PDT 2009,NO_QUERY,SariDjaman,studying for tomorrow lot of exam  ......also excited - my daddy's b-day!!!!!,8,4,77,13,0,0,1
Fri May 22 05:56:31 PDT 2009,NO_QUERY,clionaxo,@KimKardashian Its Soo Hard..? I Cant Do It ,5,56,44,8,1,0,2
Fri May 22 02:14:43 PDT 2009,NO_QUERY,LisaMaree,is wishing she was at @MTUB. Dang... all the cool kids are doin' it. I wanna do it too. ,2,14,88,19,1,0,2
Tue May 26 21:50:43 PDT 2009,NO_QUERY,faded_girl,I'm a little tired. Don't know why. Maybe I'm coming down with something. ,21,50,74,16,0,0,1
Sat Jun 06 20:20:01 PDT 2009,NO_QUERY,kaitjones,It turns out my night wasnt as amazing as i thought it would be  the sweetest people that are over are being SO STUPID! It heartbreaking!,20,20,137,26,0,0,1
Fri May 22 01:43:09 PDT 2009,NO_QUERY,rocksteaLady,@MasStip I woke up at ard 1pm :p so far my friday's been very rainy. How's urs? ,1,43,80,19,1,0,2
Sat May 30 08:51:58 PDT 2009,NO_QUERY,iloveth,@so_zwitschert i did! but it says its just payback for not taking care of it when i fell ,8,51,89,18,1,0,2
Tue Apr 07 01:39:01 PDT 2009,NO_QUERY,dannylonestar,Sweet! Its begun  Breaking News: the world is going to end aha oh shit lol,1,39,74,15,0,0,1
Sat May 30 09:34:28 PDT 2009,NO_QUERY,rt_magic,@Uwila @tehgeekgirl bring me some magic pancakes please! I'm here at work! ,9,34,75,13,2,0,0
Sun May 17 06:32:31 PDT 2009,NO_QUERY,shadowswan,On my way back to England and may of found my new career ,6,32,57,13,0,0,1
Mon Jun 15 04:41:48 PDT 2009,NO_QUERY,SophieHedgecock,@LizeeH My stomach hurts..  xx,4,41,30,5,1,0,2
